name,dept,affiliation
Francis Bien Jan Viernes,Department of Computer Science,University of the Philippines - Diliman
Chynna Julia Cordevilla,Department of Computer Science,University of the Philippines - Diliman
Rafael Gerard Formes,Department of Computer Science,University of the Philippines - Diliman
Val Randolf Madrid,Institute of Computer Science,University of the Philippines - Los Baños
Renior Abrea,School of Marine Fisheries and Technology,Mindanao State University at Naawan
Jazmine Paola B. Barroga,Department of Information Systems and Computer Science,Ateneo de Manila University
Roland Joseph M. Gudani,Department of Information Systems and Computer Science,Ateneo de Manila University
Miguel Paolo M. Quijano,Department of Information Systems and Computer Science,Ateneo de Manila University
Francis Jomer Gallardo,Department of Computer Science,University of the Philippines - Diliman
Armina Francisco,Department of Computer Science,University of the Philippines - Diliman
Geoffrey A. Solano,,University of the Philippines - Manila
Bianca Camille Silmaro,,University of the Philippines - Manila
Sun Arthur Ojeda,,University of the Philippines - Manila
Jaime D.L. Caro,Department of Computer Science,University of the Philippines - Diliman
Nerio Pascual,,Technological Institute of the Philippines
Ariel Sison,,Technological Institute of the Philippines
Bobby Gerardo,,Western Visayas State University
Ruji Medina,,Technological Institute of the Philippines
Christian Paulo De Leon,,Far Eastern University - Institute of Technology
Allan Adrian Gatchalian,,Far Eastern University - Institute of Technology
Juan Miguel Ninobla,,Far Eastern University - Institute of Technology
Nigel Roi Concepcion,,Far Eastern University - Institute of Technology
David Joseph Catemprate,,Far Eastern University - Institute of Technology
Ronald M. Pascual,Computer Technology Department,De La Salle University
Carlos Alberto Arcenas,Department of Information Systems and Computer Science,Ateneo de Manila University
Miguel Galace,Department of Information Systems and Computer Science,Ateneo de Manila University
Marlene M. De Leon,Department of Information Systems and Computer Science,Ateneo de Manila University
Jan Apolline Estrella,,Philippine Science High School
Christian Philip Gelera,,Philippine Science High School
Christian Quinzon,,Philippine Science High School
Ethel Ong,Software Technology Department,De La Salle University
Mc Jervis Villaruel,,Philippine Science High School
Edlen Mari Sanchez,,Philippine Science High School
Robee Khyra Mae J. Te,Software Technology Department,De La Salle University
Janica Mae M. Lam,Software Technology Department,De La Salle University
Camille Alexis T.R. Saavedra,Software Technology Department,De La Salle University
Alden Luc R. Hade,Software Technology Department,De La Salle University
